cryo_sleep_flag,passenger_age,room_service_spend,food_court_spend,shopping_mall_spend,spa_amenities_spend,vr_deck_spend,cabin_deck_tier,transported_or_survived
0,19.856,578.726,0.0,0.0,1733.199,0.0,4,0
1,13.793,662.15,459.273,501.28,0.0,1970.377,5,1
0,18.91,0.0,1584.374,0.0,447.354,676.482,2,1
0,10.865,0.0,0.0,53.989,0.0,0.0,3,1
0,28.477,0.0,0.0,881.249,0.0,0.0,3,1
1,17.22,284.927,2903.378,895.204,259.222,222.853,3,1
0,31.273,532.484,0.0,12.01,0.0,0.0,6,0
0,6.217,1192.862,0.0,0.0,0.0,1380.321,8,1
0,32.632,0.0,1774.464,0.0,624.901,0.0,7,0
1,39.669,0.0,0.0,557.954,0.0,153.51,7,0
0,0.088,967.287,373.932,55.364,0.0,940.64,4,1
0,33.237,412.775,1029.348,0.0,0.0,659.225,7,0
0,45.187,1043.973,1750.3,0.0,224.301,0.0,4,0
0,11.065,407.673,49.847,0.0,1348.072,993.272,3,1
1,51.416,0.0,2273.942,349.233,1967.181,0.0,8,0
0,33.866,0.0,0.0,0.0,0.0,276.496,1,1
1,18.13,0.0,1361.745,727.126,2675.342,984.434,6,0
1,27.219,650.334,0.0,0.0,0.0,786.058,3,1
1,35.817,992.588,2096.726,86.204,1501.903,0.0,8,0
0,29.064,1422.085,620.453,0.0,0.0,1557.369,5,1
1,35.543,768.018,0.0,163.075,0.0,391.029,8,0
0,15.111,975.845,1245.409,0.0,0.0,1080.145,7,0
1,30.371,0.0,1521.826,141.955,252.308,1905.556,3,1
1,8.208,0.0,1220.273,994.157,947.969,1473.397,7,1
1,26.443,772.552,0.0,269.511,1046.855,1476.136,3,1
1,15.345,491.492,0.0,0.0,0.0,502.314,7,1
1,17.703,289.839,445.113,0.0,0.0,1133.632,1,1
1,45.305,471.791,400.488,503.273,0.0,524.276,4,1
1,43.278,430.071,1349.695,897.268,187.51,0.0,8,0
1,36.528,1054.481,0.0,327.874,78.829,617.881,7,1
0,12.708,1061.741,851.192,555.679,0.0,569.179,4,1
0,23.57,573.743,102.022,511.453,606.564,912.916,5,1
1,44.983,769.772,0.0,964.676,2798.826,165.603,3,0
1,29.984,554.141,0.0,0.0,0.0,0.0,2,1
1,60.471,0.0,192.555,543.643,0.0,989.331,5,1
0,33.506,711.767,0.0,720.892,925.628,0.0,7,1
1,30.689,0.0,0.0,0.0,0.0,1831.76,4,1
0,23.672,905.03,0.0,0.0,1045.861,57.011,1,1
0,29.87,0.0,1089.34,0.0,0.0,557.805,7,0
0,25.865,405.772,0.0,0.0,2325.332,886.486,4,0
0,37.914,0.0,191.863,0.0,689.252,920.222,4,0
0,41.394,579.703,2300.732,305.858,0.0,0.0,7,0
1,16.996,197.949,1643.222,654.778,0.0,1165.291,1,1
